1980,25
1981,33
1982,34
1983,22
1984,34
1985,32
1986,31
1987,55
1988,48
1989,78
1990,118
1991,124
1992,115
1993,93
1994,114
1995,66
1996,98
1997,83
1998,74
1999,75
2000,79
2001,56
2002,62
2003,70
2004,64
2005,48
2006,34
2007,39
2008,38
2009,44
2010,44
2011,45
2012,49
2013,45
2014,42
2015,43
